	accuracy	precision	recall	f1	auc_roc	matthews_coeff	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	#tr_var	#ac_tr_var
CHEMBL1075323	0.814	0.0	0.0	0.0	0.526	0.0	461.333	15.333	0.012	0.0	0.0	0.0	0.114	0.0	7297.333	10.333
CHEMBL1800	0.871	0.889	0.556	0.656	0.948	0.627	243.333	10.333	0.003	0.037	0.037	0.023	0.001	0.019	122.333	0.333
CHEMBL1862	0.813	0.333	0.111	0.167	0.659	0.176	228.333	11.667	0.002	0.333	0.037	0.083	0.091	0.093	162.333	4.333
CHEMBL1902	0.81	0.0	0.0	0.0	0.404	0.0	280.0	11.333	0.004	0.0	0.0	0.0	0.001	0.0	372.0	0.333
CHEMBL2034	0.822	0.0	0.0	0.0	0.768	-0.066	327.667	19.0	0.018	0.0	0.0	0.0	0.028	0.013	302.333	12.0
CHEMBL204	0.925	0.542	0.305	0.351	0.9	0.361	1310.667	89.0	0.006	0.224	0.172	0.18	0.01	0.171	1457.333	727.0
CHEMBL205	0.907	0.6	0.5	0.486	0.821	0.473	1313.333	90.667	0.007	0.16	0.01	0.03	0.009	0.047	3504.333	17.333
CHEMBL214	0.894	0.5	0.289	0.362	0.873	0.35	445.0	25.667	0.004	0.25	0.117	0.164	0.01	0.169	733.0	10.333
CHEMBL2147	0.894	0.667	0.333	0.433	0.633	0.438	292.667	16.333	0.001	0.333	0.111	0.163	0.248	0.159	580.333	2.333
CHEMBL217	0.914	0.167	0.222	0.19	0.809	0.153	880.667	38.333	0.001	0.083	0.148	0.109	0.018	0.121	6204.333	2.333
CHEMBL218	0.863	0.556	0.333	0.389	0.843	0.385	367.0	21.333	0.003	0.259	0.111	0.12	0.053	0.113	199.0	12.333
CHEMBL222	0.805	0.0	0.0	0.0	0.838	0.0	256.667	11.667	0.001	0.0	0.0	0.0	0.033	0.0	281.333	0.333
CHEMBL224	0.822	0.083	0.111	0.095	0.863	0.05	389.0	26.333	0.003	0.021	0.037	0.027	0.003	0.007	403.0	14.333
CHEMBL228	0.927	0.333	0.333	0.333	0.697	0.333	607.0	27.667	0.004	0.333	0.333	0.333	0.094	0.333	2404.0	1.333
CHEMBL2326	0.841	0.0	0.0	0.0	0.406	-0.064	396.667	15.333	0.003	0.0	0.0	0.0	0.015	0.004	652.333	2.333
CHEMBL233	0.766	0.5	0.194	0.267	0.724	0.178	406.0	18.333	0.019	0.25	0.03	0.053	0.014	0.138	967.0	14.333
CHEMBL234	0.844	0.0	0.0	0.0	0.706	-0.022	717.667	40.667	0.001	0.0	0.0	0.0	0.016	0.001	1961.333	1.333
CHEMBL236	0.84	0.167	0.083	0.111	0.762	0.041	683.667	32.0	0.013	0.083	0.021	0.037	0.029	0.056	5260.333	27.0
CHEMBL237	0.869	0.69	0.463	0.476	0.918	0.456	676.333	32.333	0.004	0.073	0.136	0.037	0.0	0.018	608.333	174.333
CHEMBL244	0.946	0.524	0.547	0.513	0.895	0.498	2096.0	146.667	0.001	0.092	0.154	0.112	0.015	0.12	12601.0	556.333
CHEMBL251	0.847	0.333	0.095	0.148	0.816	0.115	689.333	27.667	0.001	0.333	0.027	0.066	0.005	0.105	1962.333	30.333
CHEMBL253	0.878	0.333	0.083	0.133	0.703	0.153	717.333	58.333	0.003	0.333	0.021	0.053	0.022	0.071	786.333	12.333
CHEMBL255	0.88	0.167	0.083	0.111	0.605	0.1	536.667	16.0	0.0	0.083	0.021	0.037	0.11	0.03	508.333	9.0
CHEMBL256	0.899	0.333	0.25	0.286	0.618	0.259	499.667	29.0	0.004	0.333	0.188	0.245	0.089	0.263	174.333	3.0
CHEMBL261	0.914	0.333	0.048	0.083	0.819	0.096	1322.667	81.0	0.001	0.333	0.007	0.021	0.008	0.054	161.333	48.0
CHEMBL264	0.92	0.533	0.314	0.385	0.782	0.365	1333.333	64.0	0.0	0.003	0.016	0.014	0.018	0.009	2074.333	49.0
CHEMBL267	0.807	0.111	0.083	0.095	0.406	0.005	308.0	14.667	0.009	0.037	0.021	0.027	0.007	0.01	333.0	6.333
CHEMBL2820	0.763	0.0	0.0	0.0	0.7	0.0	286.333	16.0	0.003	0.0	0.0	0.0	0.114	0.0	26.333	3.0
CHEMBL284	0.857	0.0	0.0	0.0	0.787	-0.028	569.333	25.333	0.001	0.0	0.0	0.0	0.018	0.002	120.333	9.333
CHEMBL3242	0.939	0.333	0.083	0.133	0.755	0.149	1119.333	60.333	0.001	0.333	0.021	0.053	0.003	0.089	542.333	10.333
CHEMBL335	0.747	0.0	0.0	0.0	0.536	-0.048	172.667	12.667	0.002	0.0	0.0	0.0	0.064	0.007	97.333	4.333
CHEMBL3371	0.711	0.0	0.0	0.0	0.509	0.0	193.0	11.667	0.006	0.0	0.0	0.0	0.144	0.0	387.0	4.333
CHEMBL344	0.818	0.626	0.464	0.414	0.763	0.39	436.333	26.333	0.002	0.116	0.218	0.064	0.039	0.068	816.333	14.333
CHEMBL3594	0.888	0.244	0.289	0.25	0.851	0.201	1347.333	86.667	0.0	0.046	0.117	0.062	0.002	0.068	2556.333	270.333
CHEMBL3729	0.789	0.222	0.222	0.222	0.899	0.185	255.667	15.667	0.006	0.148	0.148	0.148	0.009	0.103	24.333	2.333
CHEMBL3837	0.914	0.81	0.5	0.537	0.899	0.557	734.667	37.667	0.001	0.109	0.062	0.018	0.009	0.012	3608.333	32.333
CHEMBL3880	0.885	0.0	0.0	0.0	0.297	0.0	523.333	20.0	0.003	0.0	0.0	0.0	0.091	0.0	320.333	13.0
CHEMBL3991	0.86	0.611	0.306	0.378	0.703	0.347	522.0	32.333	0.001	0.12	0.002	0.001	0.008	0.012	27.0	6.333
CHEMBL4072	0.805	0.333	0.333	0.333	0.667	0.269	188.667	11.667	0.037	0.333	0.333	0.333	0.09	0.41	58.333	0.333
CHEMBL4409	0.757	0.167	0.111	0.133	0.599	0.105	275.333	12.667	0.005	0.083	0.037	0.053	0.132	0.033	430.333	14.333
CHEMBL4523	0.891	1.0	0.556	0.667	0.938	0.681	243.333	12.667	0.012	0.0	0.148	0.083	0.012	0.077	82.333	14.333
CHEMBL4657	0.863	0.0	0.0	0.0	0.61	0.0	400.0	12.333	0.0	0.0	0.0	0.0	0.046	0.0	1047.0	0.333
