	CHEMBL2147	CHEMBL234	CHEMBL2820	CHEMBL3594	CHEMBL3729	CHEMBL237	CHEMBL3837	CHEMBL4072	CHEMBL244	CHEMBL335	CHEMBL1800	CHEMBL4523	CHEMBL204	CHEMBL236
CHEMBL2147	10.00000075844434	9.614921558141452	9.362433076085098	8.221819592111974	8.652922904462361	8.586790694045717	9.73030478684225	9.777418768987307	8.397482450922437	9.65779637425434	9.385787259679809	9.950718942376808	9.036288360653614	8.851047877555718
CHEMBL234	9.614921558141452	10.000000796545025	9.686921823854496	8.602745908435402	8.271538337621873	8.967615333420964	9.772589678246652	9.657037401668777	8.778577525081802	9.851692460226035	9.03295712476234	9.616979748816947	9.41729521174091	9.228214497200662
CHEMBL2820	9.362433076085098	9.686921823854496	10.000000820902374	8.84623455566982	8.028342607808048	9.211016735966204	9.531770912501068	9.46888764649459	9.021708492842924	9.654991856730415	8.789383641094638	9.363376041976045	9.6608057670325	9.475273919476205
CHEMBL3594	8.221819592111974	8.602745908435402	8.84623455566982	10.000000936262476	6.874741738129994	9.634062337606327	8.441779374233077	8.315286776816537	9.821920347751393	8.50568075726556	7.635782771416583	8.221678845757818	9.185263989898575	9.370218380573341
CHEMBL3729	8.652922904462361	8.271538337621873	8.028342607808048	6.874741738129994	10.000000623736556	7.240680300192281	8.432963144337238	8.546473160709686	7.050492820012525	8.368630369018542	9.212364835016997	8.653063650802443	7.689210506671635	7.504524230840875
CHEMBL237	8.586790694045717	8.967615333420964	9.211016735966204	9.634062337606327	7.240680300192281	10.000000899668617	8.806964268152754	8.681225338878827	9.809813419488862	8.87062924034846	8.00172133347887	8.586445701910968	9.53545212375183	9.734555474981038
CHEMBL3837	9.73030478684225	9.772589678246652	9.531770912501068	8.441779374233077	8.432963144337238	8.806964268152754	10.00000078044032	9.607292086196871	8.61753045611561	9.740466817845563	9.118124675434363	9.696534446819582	9.256248142774718	9.069245700837378
CHEMBL4072	9.777418768987307	9.657037401668777	9.46888764649459	8.315286776816537	8.546473160709686	8.681225338878827	9.607292086196871	10.00000076779106	8.491037858699071	9.794375772858515	9.312383347716343	9.778287276876656	9.12975554535818	8.945069269527416
CHEMBL244	8.397482450922437	8.778577525081802	9.021708492842924	9.821920347751393	7.050492820012525	9.809813419488862	8.61753045611561	8.491037858699071	10.000000918687368	8.681863237867582	7.811533853299114	8.397346281685033	9.360903580626015	9.545969462455876
CHEMBL335	9.65779637425434	9.851692460226035	9.654991856730415	8.50568075726556	8.368630369018542	8.87062924034846	9.740466817845563	9.794375772858515	8.681863237867582	10.000000786873594	9.12967140230513	9.67256100859844	9.320315179361538	9.133909933752685
CHEMBL1800	9.385787259679809	9.03295712476234	8.789383641094638	7.635782771416583	9.212364835016997	8.00172133347887	9.118124675434363	9.312383347716343	7.811533853299114	9.12967140230513	10.000000699840657	9.414104684089033	8.450251539958224	8.265565264127462
CHEMBL4523	9.950718942376808	9.616979748816947	9.363376041976045	8.221678845757818	8.653063650802443	8.586445701910968	9.696534446819582	9.778287276876656	8.397346281685033	9.67256100859844	9.414104684089033	10.000000758430266	9.036147614299459	8.849726395315193
CHEMBL204	9.036288360653614	9.41729521174091	9.6608057670325	9.185263989898575	7.689210506671635	9.53545212375183	9.256248142774718	9.12975554535818	9.360903580626015	9.320315179361538	8.450251539958224	9.036147614299459	10.00000085481559	9.788798501511666
CHEMBL236	8.851047877555718	9.228214497200662	9.475273919476205	9.370218380573341	7.504524230840875	9.734555474981038	9.069245700837378	8.945069269527416	9.545969462455876	9.133909933752685	8.265565264127462	8.849726395315193	9.788798501511666	10.00000087328422
