	accuracy	precision	recall	f1	auc_roc	matthews_coeff	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	#tr_var	#ac_tr_var
CHEMBL244	0.97	0.777	0.791	0.781	0.978	0.766	2298.0	155.0	0.0	0.007	0.002	0.001	0.0	0.001	0.0	0.0
CHEMBL204	0.979	0.817	0.915	0.862	0.987	0.853	1525.0	110.0	0.0	0.0	0.006	0.001	0.0	0.002	0.0	0.0
CHEMBL3594	0.943	0.582	0.563	0.572	0.914	0.542	1475.0	99.0	0.0	0.014	0.003	0.008	0.0	0.009	0.0	0.0
CHEMBL261	0.949	0.602	0.65	0.623	0.944	0.598	1463.0	97.0	0.0	0.004	0.01	0.005	0.001	0.006	0.0	0.0
CHEMBL205	0.92	0.437	0.597	0.504	0.884	0.469	1463.0	100.0	0.0	0.0	0.002	0.001	0.0	0.001	0.0	0.0
CHEMBL264	0.931	0.487	0.694	0.558	0.944	0.541	1411.0	83.0	0.001	0.028	0.003	0.008	0.0	0.008	0.0	0.0
CHEMBL3242	0.952	0.598	0.598	0.58	0.908	0.564	1225.0	69.0	0.0	0.025	0.011	0.0	0.001	0.001	0.0	0.0
CHEMBL217	0.922	0.389	0.683	0.483	0.928	0.474	953.0	50.0	0.001	0.009	0.012	0.003	0.0	0.001	0.0	0.0
CHEMBL253	0.958	0.724	0.816	0.767	0.968	0.746	787.0	69.0	0.0	0.001	0.003	0.002	0.0	0.002	0.0	0.0
CHEMBL3837	0.648	0.353	0.895	0.454	0.967	0.415	771.0	45.0	0.261	0.066	0.011	0.09	0.0	0.129	0.0	0.0
CHEMBL236	0.922	0.394	0.759	0.517	0.939	0.511	765.0	43.0	0.0	0.002	0.007	0.001	0.001	0.002	0.0	0.0
CHEMBL234	0.946	0.561	0.593	0.55	0.944	0.537	737.0	43.0	0.0	0.019	0.038	0.008	0.0	0.008	0.0	0.0
CHEMBL237	0.943	0.605	0.877	0.686	0.969	0.69	727.0	44.0	0.002	0.048	0.018	0.019	0.001	0.012	0.0	0.0
CHEMBL251	0.932	0.448	0.804	0.573	0.961	0.568	707.0	39.0	0.0	0.004	0.001	0.003	0.0	0.002	0.0	0.0
CHEMBL228	0.957	0.518	0.528	0.518	0.857	0.498	646.0	29.0	0.0	0.025	0.009	0.012	0.0	0.014	0.0	0.0
CHEMBL3880	0.948	0.553	0.578	0.558	0.953	0.534	625.0	34.0	0.0	0.014	0.001	0.003	0.0	0.003	0.0	0.0
CHEMBL284	0.961	0.629	0.564	0.584	0.916	0.571	618.0	31.0	0.0	0.012	0.014	0.003	0.003	0.003	0.0	0.0
CHEMBL255	0.979	0.65	0.963	0.77	0.995	0.779	588.0	22.0	0.0	0.011	0.004	0.005	0.0	0.003	0.0	0.0
CHEMBL256	0.933	0.504	0.812	0.621	0.958	0.607	557.0	38.0	0.0	0.005	0.004	0.004	0.0	0.005	0.0	0.0
CHEMBL3991	0.983	0.896	0.882	0.882	0.991	0.877	542.0	38.0	0.0	0.01	0.01	0.001	0.0	0.001	0.0	0.0
CHEMBL214	0.944	0.625	0.689	0.639	0.943	0.62	495.0	36.0	0.0	0.03	0.006	0.003	0.0	0.004	0.0	0.0
CHEMBL344	0.95	0.717	0.688	0.679	0.938	0.666	480.0	37.0	0.0	0.027	0.027	0.001	0.001	0.002	0.0	0.0
CHEMBL1075323	0.932	0.364	0.556	0.403	0.941	0.401	470.0	22.0	0.001	0.004	0.086	0.012	0.0	0.013	0.0	0.0
CHEMBL2326	0.965	0.833	0.25	0.367	0.878	0.428	438.0	18.0	0.0	0.083	0.016	0.027	0.003	0.023	0.0	0.0
CHEMBL233	0.952	0.62	0.667	0.636	0.945	0.615	437.0	28.0	0.0	0.001	0.021	0.002	0.001	0.003	0.0	0.0
CHEMBL224	0.923	0.579	0.524	0.521	0.901	0.497	425.0	34.0	0.001	0.066	0.012	0.009	0.005	0.014	0.0	0.0
CHEMBL4657	0.926	0.259	0.286	0.244	0.764	0.222	420.0	15.0	0.001	0.045	0.02	0.015	0.002	0.02	0.0	0.0
CHEMBL218	0.945	0.639	0.472	0.533	0.958	0.517	408.0	27.0	0.0	0.002	0.016	0.006	0.0	0.004	0.0	0.0
CHEMBL2034	0.922	0.415	0.6	0.488	0.94	0.458	387.0	24.0	0.001	0.014	0.01	0.013	0.0	0.015	0.0	0.0
CHEMBL267	0.876	0.211	0.417	0.271	0.814	0.234	350.0	17.0	0.002	0.006	0.005	0.003	0.0	0.003	0.0	0.0
CHEMBL4793	0.971	0.589	0.4	0.462	0.941	0.464	350.0	13.0	0.0	0.007	0.04	0.026	0.002	0.021	0.0	0.0
CHEMBL1902	0.971	0.711	0.875	0.78	0.989	0.772	324.0	18.0	0.0	0.013	0.016	0.01	0.0	0.01	0.0	0.0
CHEMBL2147	0.978	0.842	0.852	0.843	0.958	0.834	321.0	22.0	0.0	0.035	0.004	0.016	0.003	0.018	0.0	0.0
CHEMBL2820	0.982	0.926	0.833	0.877	0.95	0.869	305.0	22.0	0.0	0.016	0.013	0.015	0.008	0.017	0.0	0.0
CHEMBL4409	0.885	0.341	0.875	0.488	0.93	0.501	295.0	19.0	0.0	0.0	0.016	0.0	0.0	0.001	0.0	0.0
CHEMBL222	0.94	0.6	0.381	0.416	0.845	0.423	284.0	15.0	0.0	0.12	0.027	0.005	0.002	0.012	0.0	0.0
CHEMBL229	0.966	0.472	0.333	0.389	0.931	0.386	273.0	12.0	0.0	0.169	0.093	0.12	0.003	0.118	0.0	0.0
CHEMBL3729	0.98	1.0	0.741	0.847	0.996	0.85	273.0	21.0	0.0	0.0	0.016	0.007	0.0	0.006	0.0	0.0
CHEMBL4523	0.994	1.0	0.905	0.949	0.999	0.948	258.0	16.0	0.0	0.0	0.007	0.002	0.0	0.002	0.0	0.0
