	accuracy	precision	recall	f1	auc_roc	matthews_coeff	#tr	#ac_tr	accuracy_var	precision_var	recall_var	f1_var	auc_roc_var	matthews_coeff_var	#tr_var	#ac_tr_var
CHEMBL244	0.963	0.848	0.562	0.672	0.951	0.671	2298.0	155.0	0.0	0.004	0.009	0.004	0.0	0.003	0.0	0.0
CHEMBL204	0.971	0.831	0.752	0.788	0.982	0.774	1525.0	110.0	0.0	0.002	0.002	0.0	0.0	0.0	0.0	0.0
CHEMBL3594	0.945	0.779	0.262	0.383	0.856	0.425	1475.0	99.0	0.0	0.024	0.004	0.002	0.001	0.001	0.0	0.0
CHEMBL261	0.94	0.397	0.252	0.308	0.897	0.297	1463.0	97.0	0.0	0.119	0.049	0.073	0.001	0.068	0.0	0.0
CHEMBL205	0.939	0.632	0.248	0.353	0.864	0.369	1463.0	100.0	0.0	0.013	0.009	0.012	0.0	0.011	0.0	0.0
CHEMBL264	0.947	0.582	0.343	0.422	0.923	0.417	1411.0	83.0	0.0	0.006	0.023	0.022	0.001	0.017	0.0	0.0
CHEMBL3242	0.943	0.489	0.069	0.114	0.795	0.158	1225.0	69.0	0.0	0.034	0.001	0.002	0.002	0.002	0.0	0.0
CHEMBL217	0.955	0.783	0.206	0.316	0.878	0.378	953.0	50.0	0.0	0.041	0.005	0.005	0.002	0.003	0.0	0.0
CHEMBL253	0.961	0.827	0.678	0.743	0.942	0.727	787.0	69.0	0.0	0.003	0.017	0.01	0.001	0.01	0.0	0.0
CHEMBL3837	0.959	0.861	0.368	0.504	0.932	0.539	771.0	45.0	0.0	0.058	0.011	0.015	0.0	0.015	0.0	0.0
CHEMBL236	0.944	0.152	0.093	0.115	0.903	0.109	765.0	43.0	0.0	0.069	0.026	0.04	0.0	0.036	0.0	0.0
CHEMBL234	0.951	0.544	0.167	0.255	0.903	0.291	737.0	43.0	0.0	0.223	0.022	0.05	0.001	0.064	0.0	0.0
CHEMBL237	0.95	0.457	0.386	0.413	0.97	0.402	727.0	44.0	0.0	0.182	0.112	0.132	0.0	0.128	0.0	0.0
CHEMBL251	0.941	0.458	0.078	0.117	0.897	0.148	707.0	39.0	0.0	0.255	0.008	0.014	0.002	0.021	0.0	0.0
CHEMBL228	0.957	0.0	0.0	0.0	0.807	0.0	646.0	29.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0
CHEMBL3880	0.947	0.25	0.067	0.105	0.81	0.124	625.0	34.0	0.0	0.188	0.013	0.033	0.007	0.046	0.0	0.0
CHEMBL284	0.952	0.367	0.103	0.156	0.849	0.179	618.0	31.0	0.0	0.103	0.014	0.028	0.012	0.031	0.0	0.0
CHEMBL255	0.964	0.0	0.0	0.0	0.881	0.0	588.0	22.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0
CHEMBL256	0.937	0.205	0.167	0.184	0.896	0.175	557.0	38.0	0.0	0.126	0.083	0.101	0.006	0.092	0.0	0.0
CHEMBL3991	0.964	0.865	0.608	0.713	0.974	0.708	542.0	38.0	0.0	0.016	0.005	0.007	0.001	0.009	0.0	0.0
CHEMBL214	0.933	0.317	0.178	0.222	0.876	0.214	495.0	36.0	0.0	0.126	0.064	0.089	0.005	0.085	0.0	0.0
CHEMBL344	0.93	0.286	0.125	0.174	0.896	0.182	480.0	37.0	0.0	0.245	0.047	0.091	0.0	0.099	0.0	0.0
CHEMBL1075323	0.955	0.167	0.037	0.061	0.906	0.074	470.0	22.0	0.0	0.083	0.004	0.011	0.0	0.016	0.0	0.0
CHEMBL2326	0.958	0.0	0.0	0.0	0.799	0.0	438.0	18.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0
CHEMBL233	0.947	0.867	0.222	0.346	0.902	0.416	437.0	28.0	0.0	0.053	0.002	0.003	0.001	0.004	0.0	0.0
CHEMBL224	0.933	0.778	0.214	0.311	0.842	0.358	425.0	34.0	0.0	0.148	0.036	0.064	0.005	0.061	0.0	0.0
CHEMBL4657	0.961	0.0	0.0	0.0	0.576	0.0	420.0	15.0	0.0	0.0	0.0	0.0	0.086	0.0	0.0	0.0
CHEMBL218	0.937	0.433	0.139	0.204	0.857	0.227	408.0	27.0	0.0	0.163	0.03	0.058	0.002	0.063	0.0	0.0
